Gender;Age;MaritalStatus;CS1;CS2;CS3;CS4;CS5;BP1;BP2;BP3;BP4;BA1;BA2;BA3;PI1;PI2;PI3;PI4
women;19;single;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5
women;19;single;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5
men;24;single;4;4;4;4;3;1;2;2;1;4;5;3;3;4;3;4
men;44;married ;5;5;5;5;5;3;3;2;2;4;4;4;4;3;3;3
women;21;single;3;4;3;4;3;1;1;1;1;3;4;5;3;2;3;3
men;31;single;5;5;5;5;4;4;5;5;5;5;5;5;5;4;4;4
men;39;married ;5;5;5;5;5;3;3;3;3;4;4;4;4;4;4;4
women;18;single;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5
women;25;single;3;3;3;3;3;1;1;1;1;3;3;3;3;3;3;3
women;30;married ;4;4;4;5;4;2;2;3;2;3;3;3;4;3;5;4
women;20;single;3;4;3;3;2;1;1;1;1;3;2;2;3;4;4;4
men;20;single;5;4;4;5;5;5;5;4;5;4;4;5;5;5;4;5
men;20;single;3;3;3;3;2;2;3;3;2;3;3;3;4;3;3;3
women;21;single;5;5;5;5;1;5;5;5;5;5;5;5;5;4;4;5
women;19;single;4;4;4;4;4;2;3;2;2;4;4;4;3;3;3;3
women;20;single;4;4;4;4;3;2;3;3;2;4;4;3;3;3;3;3
women;21;single;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5
women;21;single;3;4;5;5;1;3;3;4;3;3;4;3;3;4;4;4
men;24;single;5;4;4;3;4;5;4;4;3;4;4;4;5;5;5;4
men;20;single;5;5;5;5;1;3;3;3;3;5;4;5;5;4;4;5
men;19;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
women;20;single;4;4;4;4;3;2;2;2;2;4;4;4;4;3;3;3
women;19;single;4;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5
women;20;married ;1;3;1;1;3;3;1;2;3;3;2;1;4;3;3;5
men;20;single;1;1;1;1;1;1;1;1;1;4;5;5;4;3;3;3
women;21;single;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4
women;19;single;3;4;5;4;5;4;4;4;4;5;5;4;4;4;4;3
women;20;single;5;5;5;4;5;4;3;3;4;4;4;4;4;4;4;4
women;20;single;5;5;5;5;5;3;2;2;3;5;4;3;5;2;3;3
men;20;married ;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1
men;20;married ;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1
men;19;single;5;5;5;5;4;2;3;3;3;5;4;5;5;4;4;5
men;25;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
men;22;single;4;4;4;4;4;3;3;3;3;4;4;4;4;3;3;3
women;20;single;3;3;3;3;2;2;2;2;1;3;2;3;2;3;2;2
women;21;single;2;2;1;2;2;1;1;1;1;3;1;1;1;2;2;2
women;19;single;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5
men;30;married ;4;4;4;4;4;2;3;2;2;5;4;5;4;3;3;2
women;23;single;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
women;20;single;4;4;4;4;2;1;1;1;1;4;3;4;4;4;4;4
women;19;single;3;5;5;3;4;5;3;3;5;3;2;1;2;5;4;2
women;20;single;4;4;4;3;4;1;2;3;1;5;5;5;4;2;2;5
men;22;single;1;1;1;1;1;1;1;2;2;5;5;5;5;1;2;1
women;22;single;3;3;3;3;3;2;2;2;2;5;3;5;4;4;3;3
men;25;single;5;5;5;5;5;5;5;5;5;4;4;3;4;3;4;4
men;38;married ;4;4;4;4;4;5;4;3;4;4;5;4;4;5;5;5
men;26;single;5;4;4;5;3;4;3;4;4;5;5;5;5;5;4;5
men;38;married ;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4
men;60;married ;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
