"construct","item","source_column"
"AI_Adoption","AIA1","I intend to adopt an AI-based system in my business/work because it can improve my business performance and results."
"AI_Adoption","AIA2","I use AI-based technology to help analyze data or information in my work or business."
"AI_Adoption","AIA3","The application of AI technology helps improve the efficiency of my work processes or business operations."
"AI_Adoption","AIA4","I believe that AI systems can provide reliable results or recommendations in my work."
"AI_Adoption","AIA5","The use of AI technology aligns with the needs and working methods of my business or work."
"Digital_Capability","DC1","I have good skills in using various digital technologies to support my work/business."
"Digital_Capability","DC2","I am able to utilize digital technologies (such as software, online platforms, or data systems) to support my work or business activities."
"Digital_Capability","DC3","I have the ability to manage and utilize digital information or data to support work decision-making."
"Digital_Capability","DC4","I am able to use various digital technologies to improve the efficiency of work processes or business operations."
"Digital_Capability","DC5","I can integrate digital technology with my work processes or business strategies."
"Digital_Capability","DC6","I am able to utilize digital technology to create or develop new ideas, products, or services in my work or business."
"Digital_Capability","DC7","I have the ability to combine digital technology with organizational resources to improve work or business performance."
"Digital_Capability","DC8","I have skills in using digital technology to communicate and collaborate with colleagues or business partners."
"Strategic_Decision_Quality","SDQ1","I always set clear goals before making strategic decisions in my work or business."
"Strategic_Decision_Quality","SDQ2","Before making a strategic decision, I gather information from various relevant sources (both internal and external)."
"Strategic_Decision_Quality","SDQ3","I systematically evaluate several alternative solutions before making a final decision."
"Strategic_Decision_Quality","SDQ4","In making strategic decisions, I consider the potential risks and the chances of success of each alternative."
"Strategic_Decision_Quality","SDQ5","My strategic decisions are based on logical and structured analysis, not just intuition."
"Innovation_Capability","IC1","Before making strategic decisions, I set measurable and specific decision objectives as a basis for evaluation."
"Innovation_Capability","IC2","I evaluate strategic decision alternatives by quantitatively considering the probability of risks and their business consequences."
"Innovation_Capability","IC3","The strategic decisions I make are based on relevant data and analysis, not just personal intuition."
"Innovation_Capability","IC4","I make optimal use of the knowledge and information available within the organization before making strategic decisions."
"Innovation_Capability","IC5","In the strategic decision-making process, I encourage team participation to improve the quality of alternative evaluations."
"Innovation_Capability","IC6","I re-evaluate previous strategic decisions to improve the quality of subsequent decisions."
"Innovation_Capability","IC7","Every strategic decision I make is aligned with the company's long-term strategy and business objectives."
