"AIA1","AIA2","AIA3","AIA4","AIA5","DC1","DC2","DC3","DC4","DC5","DC6","DC7","DC8","SDQ1","SDQ2","SDQ3","SDQ4","SDQ5","IC1","IC2","IC3","IC4","IC5","IC6","IC7"
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
2,4,2,3,2,5,5,4,5,5,5,5,5,5,4,4,4,4,4,3,4,5,5,5,5
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5
4,5,4,3,4,4,5,3,5,5,3,4,5,4,5,5,3,5,4,5,5,3,4,5,4
3,4,3,4,4,4,5,5,4,4,4,5,3,5,4,5,5,3,4,4,4,4,5,4,3
4,4,4,4,3,4,3,3,2,4,5,4,4,5,4,4,5,3,4,2,2,3,5,3,3
3,3,3,4,4,4,4,5,5,5,5,5,4,4,3,4,4,5,4,5,5,4,4,5,4
4,4,3,5,4,4,4,4,3,4,5,4,3,4,4,5,4,4,4,5,4,4,4,5,4
2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,4,4,4,3,3,3,3,4,3,3,2,3,5,4,4,4,4,3,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4,4,4,5,5,5,5,5
4,3,5,4,5,3,5,5,4,5,3,5,4,5,4,4,3,5,5,5,4,4,5,5,4
5,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,5
3,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,3,4,4,3,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,3,4,4,4,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,3,5
4,3,4,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
4,5,4,4,3,3,4,3,4,4,4,3,4,4,4,4,5,4,4,4,3,4,3,4,4
3,2,3,3,3,4,4,4,4,3,4,3,3,5,5,5,5,5,4,4,5,5,5,5,5
3,4,4,5,4,4,4,4,4,5,5,4,5,4,5,5,4,5,4,4,5,5,5,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,4,5,5
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,4,3,4,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,4,4,5,5,5,4,5,3,3,5,5,4,3,5,4,2,4,3,4,5,5,4,5
5,5,4,3,4,5,5,3,4,5,5,4,4,4,5,4,4,4,4,5,4,4,4,5,4
3,3,3,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
4,4,5,3,4,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4
4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,5,5,5,4,4,4,4,5,4,5
4,5,3,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,3,4,4,4,5
5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5,4
